"created_at","text","label_numeric"
2022-08-28,"Quant à moi, la présente campagne sera sous le thème de l'enthousiasme. Je vous le dis, je goûterai chaque instant des prochains jours avec un sourire accroché dans la figure. Je suis simplement heureux de faire partie de cette belle gang! #Qc2022#Québec2022#PolQc#CAQ",0
2022-08-28,"Magnifique lancement de campagne du @partiquebecois
 au bord de notre grand fleuve.
Tellement inspirant de côtoyer ces candidats qui débordent de convictions et d’enthousiasme.
#polqc #polqc2022",0
2022-08-28,"Élections au Québec :

« La priorité numéro un, ça doit être la santé des gens et la santé de l’environnement. »

- Gabriel Nadeau-Dubois, porte-parole de QS

#polqc #qc2022",0
2022-08-28,"Le lieutenant-gouverneur a signé les décrets sur la dissolution de l'Assemblée nationale et sur la tenue d'élections générales. Les élections au Québec sont officiellement déclenchées.

#polqc #qc2022",0
2022-08-28,"Ça y est! La campagne Qs démarre à St-François, en Estrie, avec notre candidate, Dre Mélissa Généreux! Beaucoup d’espoir et d’ambition chez les dizaines de candidat.e.s solidaires qui s’y sont rassemblés. Conserver nos 10 sièges et en gagner beaucoup d’autres! #polqc #assnat",0
2022-08-28,"Sûrement pas toi @francoislegault. Dois-je te rappeler que la CAQ a octroyé pour plus de 17,4G$ de contrat de gré à gré à ses petits amis ?

#DehorsLaCAQ 
#PCQ",1
2022-08-28,"En commençant, Legault a fait une bourde pour ne pas montrer trop d'attention à Dominique Anglade avec comme résultat qu'il a braqué les projecteurs sur elle pour le reste de la journée...
Il risque de trouver ça long 36 jours de campagne
#QC2022 #polQC",0
2022-08-28,"Pas beaucoup d’heures de sommeil + beaucoup d’heures de travail = des affiches posées partout dans René-Levesque… 

Une recette gagnante. 🪧😁⚜️

Merci à ma gang de militants d’avoir été si nombreux et si généreux de votre temps. 🙏🏻 

#PQ2022 #polqc 
@partiquebecois",0
2022-08-28,"En cette année du centenaire, c'est pas fort @PconservateurQc
  #RenéLévesque #polqc",0
2022-08-28,"« L'important, c'est qu'ils puissent ramener leur trousse au plus tard à 20h le lundi 3 octobre. 
- Philippe Reid, directeur général des élections du Québec
#polqc #quebec2022",0
2022-08-28,"La cheffe du PLQ @DomAnglade répond à « la madame » de @francoislegault
 #qc2022 #Elections2022",0
2022-08-28,"Faut croire que je logeais déjà à la bonne place! 😉
@partiquebecois
 #polqc #Elections2022",2
2022-08-28,"« On a tous le sentiment que notre qualité de vie s’est détériorée sous le leadership de ⁦@francoislegault » a lancé @E_Duhaime en point de presse. Accusé par le PM de diviser les québécois, il répond que c’est François Legault qui le fait, et pas lui #qc2022",0
2022-08-28,"Opération pancarte. C’est toujours un plaisir de parler avec les électeurs de JMV. 
Posters are going up. It’s always a pleasure talking with the constituents of JMV. #plq",0
2022-08-28,".@francoislegault accueilli en grand au Saint-Crème d'Alma #qc2022 #polqc https://lequotidien.com/2022/08/28/fra",0
2022-08-28,"Message pour #Chauveau #qc2022 #polqc",2
2022-08-28,"Francois Legault affirme qu'il dit toujours ce qu'il pense. Levez-la main qui croient à ce mensonge? 
Legault est le politicien le plus téléguidé, le plus encadré au Qc. 70+ pers juste pour gérer sa page FB. Imaginez! #polqc #qc2022 #quebec2022",1
2022-08-28,"Ce soir dans notre édition spéciale de #RDI2460 #Elections2022 #qc2022, un candidat de chaque parti nous parle des priorités pour sa formation politique. Dès 18h30 avec @slebel19
 @AvecAndreFortin
 @VenneVeronique
 @DocGenereux
 @JacintheEveArel
 
C'est un rendez-vous sur RDI !",0
2022-08-28,"Quel bonheur d'avoir été présent aujourd'hui au lancement de la campagne de la @coalitionavenir
 au Parc national de la Chute Montmorency, en compagnie de plusieurs de mes collègues. #Qc2022 #Québec2022 #PolQc #CAQ",0
2022-08-28,"Le candidat de Québec Solidaire dans Gaspé a choisi sa cible. Il s’attaque au Parti Québécois qui selon lui, a fait son temps. Merci pour la motivation supplémentaire pour les militants de la campagne de ma collègue @MeganneMelancon
. #Qc2022",0
2022-08-28,"Et ce parti se dit souverainiste. Que de la foutaise. QS ne s’attaque qu’au seul parti souverainiste. Donc la logique est qu’ils sont autant fédéraliste que CAQ, PLQ et pour PCQ même eux ne savent pas où ils se retrouvent.",1
2022-08-28,"Ne pas savoir comment écrire le nom du plus grand premier ministre de l'histoire du Québec... 🥴 #polqc #qcpoli #qc2022",0
2022-08-28,"There were six people in a house in Gatineau, Canada. A neighbour snitched. Police went in, Gestapo style. Assaulting citizens. C’est écœurant! C’est comme ça que la CAQ et sa Guilbeault traitent les citoyens et ça va continuer avec eux-autres #DEHORSLACAQ #NONALAVACCINATIONSANSFIN",1
2022-08-28,"Québec solidaire veut être l’alternative à la CAQ  #polqc https://lapresse.ca/elections-quebec/2022-08-28/quebec-solidaire-veut-etre-l-alternative-a-la-caq.php via @lp_lapresse",0
2022-08-28,"Quebec Election Notebook: Anglophones can count on Conservatives, Duhaime says",0
2022-08-28,"Tu penses que d’afficher sur un poteau où il y a un panneau Cul-de-sac est le summum de l’erreur? Ben l’#pcq à Duhaime peut faire encore mieux! #vidanges #polQC #QC2022",2
2022-08-28,"So happy I don't live in Quebec honestly. I probably would just vote for the party best positioned to beat the CAQ wherever I lived. #polqc",2
2022-08-28,"Jour 1 de la campagne

Les gaffes : 

La madame 
Les vieux péquistes et les vieux libéraux

Misogynie et l’agisme 

Ca commence bien. Et surtout ils ne veulent pas diviser 

#polqc #Elxn2022 #qc2022",1
2022-08-28,"Les élections générales de 2022 ont été officiellement déclenchées par François Legault ce 28 août. Le député sortant Simon Jolin-Barrette sollicite l’appui des électeurs pour un troisième mandat.",0
2022-08-28,"Ils sont même pas capable d'écrire Repentigny sur leurs pancartes de Repentigny

#polqc",0
2022-08-28,"Ils ne sont solidaires de personne, sauf de leurs petits nombrils. Ils ont usurpé ce noble mot et s’en servent effrontément, avec la complicité des médias. #outrage J’ai vu des foules offusquées pour mons que cela.#qc2022 #appropriation",1
2022-08-28,"Les quatre mesures pour lutter contre l’inflation que présentera la CAQ au cours de la campagne électorale sont réunies sous l’appellation « bouclier contre l’inflation »; la première annonce en ce sens aura lieu demain #polqc #qc2022",0
2022-08-28,"c'est la derniere election pour la crise climatique dans 4 ans c'est trop tard #climat #electionquebec2022 #quebecsolidaire",0
2022-08-28,"Sans trop de surprise, je voterai @partiquebecois
 aux #Elections2022. 
#polqc #qc2022",2
2022-08-28,"Dimanche #Montreal #Quebec #Canada @TourismeQuebec
 @QuebecRetweet
 @meteomedia
 @weathernetwork
 #architecture #photography #urbanphotography #architecturephotography #ville @Monmontreal
 @Montreal",2
2022-08-28,"Comme si QS était si jeune: marxisme et communisme me semble que ça date pas d’hier! Puis Manon, c’est de la dernière jeunesse faut croire! #qc2022",1
